ID,ninf,Tg,m,K,C,cost,opt,rmse,num_points,Na2O,SiO2,K2O,Li2O,Al2O3,B2O3,ZnO,BaO,MgO,P2O5,La2O3,CaO,PbO,Sb2O3,ZrO2,TiO2,CdO,Ta2O5,Y2O3,HfO2,Nb2O5,WO3,As2O3,Bi2O3,TeO2,Tl2O,Ga2O3,GeO2,SrO,FeO,MoO3,CuO,BeO,Rb2O,Cs2O,MnO,CoO,NiO,Fe2O3
552,-1.5450707960839793,855.7295469542618,38.46156604888274,1841.7144076976306,1574.135825154184,0.01011966476301751,4.016569330606012e-09,0.03674429290769972,15,0.13,0.71,0.01,,0.02,,,,0.04,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
553,-2.508453510672031,817.7779536504412,32.23226415923496,3497.146978176381,999.0135469923234,0.8136415341611962,1.8926939263780307e-07,0.32887742207551424,16,0.13,0.73,0.01,,0.02,,,,0.04,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,-1.421245125874543,844.3398011691811,40.29564111442016,1529.990299386959,1690.68681427811,0.31541639853196823,3.7543360380601354e-08,0.20107534767792284,16,0.16,0.69,0.01,,0.02,,,,0.04,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,-0.9246103961691995,824.7164652353907,38.97409508921651,1420.3777730058675,1662.2117246660678,0.10470379283913767,4.8048695133751096e-08,0.07750890547749718,35,0.13,0.78,,,,0.03,,,0.01,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,-0.7711651662828575,817.5380734860536,48.406179588763514,641.1196992186058,2281.152945740341,0.08784035857692318,4.578131106158789e-08,0.07668214238863676,30,0.17,0.61,0.01,,0.04,0.03,,,0.02,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,-1.3037556880272552,836.4973927997335,42.76008197563946,1215.7708997552802,1852.1191097353665,0.04221469998485072,1.599477587616721e-08,0.05140726643934635,32,0.13,0.62,,,0.04,0.08,,,0.08,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,-1.4210489742796435,789.8055194746978,40.30928010574974,1429.6338698648283,1582.325896973066,0.038410250450443106,9.427848800258598e-09,0.04756243098705337,34,0.16,0.67,0.01,,,0.03,,,0.07,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,-0.293972927580418,841.4529901926849,49.55097928932316,499.5608482709923,2550.0315962454556,0.0587384479652342,6.025671783760345e-08,0.0626453760040792,30,0.14,0.68,0.01,,,0.09,,,0.02,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,-1.8147061178273898,827.2449651335907,30.83723471888483,3333.010042959961,1019.3341037414647,0.07580618653266225,8.062822095394884e-08,0.05810942442793924,45,0.06,0.76,0.06,,0.02,,0.02,0.01,0.02,,,0.04,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,
561,-1.8730241698915224,862.9355820363556,35.21719459817415,2570.224712577895,1327.6589088330886,0.1279524412558357,1.0238946034936674e-08,0.08054443881686353,41,0.06,0.71,0.04,,0.02,,,0.01,0.02,,,0.04,,,0.02,,,,,,,,,,,,,,0.06,,,,,,,,,,
562,-1.9471826704975623,797.3055778133842,38.17276017017891,1957.7756070505768,1384.8809843943409,0.17682084914811713,8.623700895049602e-08,0.09200253902146838,42,0.11,0.62,0.04,0.01,0.03,,,0.06,,,,0.04,0.01,,,,,,,,,,,,,,,,0.07,,,,,,,,,,
563,-1.3669968476792778,738.1634550824368,38.540053566456194,1500.7638246962103,1390.127545795346,0.4415913495731909,2.40809994139779e-07,0.15225262503035134,39,0.1,0.64,0.07,0.01,0.01,,0.01,0.06,0.02,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,
564,-1.670150011420059,766.2080172515531,40.18763680333212,1505.46759787123,1486.2975871041342,0.11277480446836208,8.47710712181815e-08,0.07931981603308919,36,0.11,0.63,0.05,,0.03,,0.01,0.06,,,,,0.01,,0.02,,,,,,,,,,,,,,0.07,,,,,,,,,,
565,-1.762999528963064,781.59903945847,33.4469589479561,2573.7445291532495,1117.8496186276914,0.10761880989922834,5.126999915588959e-08,0.07271187611626183,41,0.1,0.72,0.04,0.01,0.01,,0.01,0.01,0.02,,,0.04,0.01,,0.02,,,,,,,,,,,,,,0.01,,,,,,,,,,
566,-1.336471053744644,785.1001877646178,36.760433932630704,1807.9157046973535,1378.9373200972273,0.22507378436436642,3.6406680753442444e-08,0.10730471015420667,40,0.07,0.71,0.07,,0.01,,0.01,0.06,,,,0.04,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,,
567,-2.262118822493717,789.9442100701002,26.42158420150264,4803.012283471849,673.4833297382709,0.04258181287208429,3.897812204944895e-09,0.042593293319716535,47,0.06,0.87,0.04,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,
568,-2.2123276328550565,707.9299681965872,24.917089330207904,4737.440713779775,533.2146713561716,0.0063736877259967795,9.246838267307211e-09,0.03406092094016656,11,0.05,0.8,0.06,,,,,0.02,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,
569,-2.2277644497877525,703.4653538240295,24.91947378588448,4720.858515235964,528.6316847347839,0.000948005984338085,2.54330001850378e-09,0.01257052048911349,12,0.04,0.79,0.08,,,,,0.02,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,
570,-1.3488339121644524,762.3066437107218,48.981763479941456,705.1506477572101,2034.8757893855793,0.058078532145134254,1.1826663539335827e-08,0.08311578338574531,17,,0.61,0.07,0.11,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,-2.824597491243895,803.3008488496805,45.42534860317347,1511.4571130678255,1658.1636943714582,0.24681742228906844,2.4935590366148563e-07,0.19759443539198715,13,0.16,0.61,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,-0.7076573174087764,969.3426808923786,53.49220583034697,497.3909165176843,3111.0536432515487,0.0041254550771538945,3.367337229366607e-09,0.02873212133873329,10,,0.57,,,0.09,0.08,,,0.07,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,-3.8070087755071804,690.3513135272668,51.82659553487038,1117.6060180996155,1573.1103452391096,0.10752020270075135,1.354567300201892e-07,0.1203024640807653,15,,,,0.15,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,-2.961169821092033,672.4297991436117,53.183931520395205,781.7681560226224,1717.9220795918043,0.6969374552227523,1.7551061601978057e-06,0.28080859401163616,19,,,0.08,0.08,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,-1.822592305883162,808.4046651556549,54.285755101570686,598.2724627769558,2366.459839596387,0.06730360775750133,4.893295952983212e-08,0.08023822877506981,21,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,-1.6250642363679906,697.4364323205517,51.53906681098337,587.9585541756484,1940.73262568931,1.490565145512176,5.167151928553437e-08,0.2986283118450783,38,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
